order_id,freight_cost
cf4659487be50c0c317cff3564c4a840,1794.96
2455cbeb73fd04b170ca2504662f95ce,1002.29
cfed507ac357129f750f05a0d7d71b15,711.33
71dab1155600756af6de79de92e712e3,626.64
17784b9fbb37fb0bdc230d8ed6f6b355,502.98
725cf8e9c24e679a8a5a32cb92c9ce1e,497.42
5bd06bab48e0423fc35d1c236d48a6bb,497.08
be382a9e1ed25128148b97d6bfdb21af,479.28
c52c7fbe316b5b9d549e8a25206b8a1f,458.73
62073ec6b54b8e6322037fc0f3591ad3,456.47
85c467a504e5796387bb68fe2adcc256,436.24
a77e1550db865202c56b19ddc6dc4d53,409.68
1baafdbda29613148a2517059b996b95,401.58
73cbd9a357e885c9034b3df9d50482bb,389.25
f80549a97eb203e1566e026ab66f045b,388.1
e8e6d889f4d8a89fdcae9bdd473117d7,383.64
076d1555fb53a89b0ef4d529e527a0f6,375.28
3fde74c28a3d5d618c00f26d51baafa0,375.28
b110523a5f9c69ad95bf8247062f0ba9,374.28
2ce3c61f3add382691fcad6a04f52680,371.46
